GameID,WhiteName,WhiteElo,BlackName,BlackElo,Year,Opening,Variation,MoveNumber,Move,Evaluation
1,"Abdusattorov,Nodirbek",2766,"Aravindh,Chithambaram VR.",2698,2024,King's Indian,London system,1,d4,0.28
1,,,,,,,,2,Nf6,0.19
1,,,,,,,,3,Nf3,0.27
1,,,,,,,,4,g6,0.22
1,,,,,,,,5,Bf4,0.11
1,,,,,,,,6,Bg7,0.22
1,,,,,,,,7,c3,0.18
1,,,,,,,,8,d6,0.1
1,,,,,,,,9,Nbd2,0.0
1,,,,,,,,10,Nh5,-0.02
1,,,,,,,,11,Bg5,-0.03
1,,,,,,,,12,h6,0.0
1,,,,,,,,13,Bh4,-0.11
1,,,,,,,,14,g5,-0.03
1,,,,,,,,15,Bg3,-0.02
1,,,,,,,,16,Nd7,0.13
1,,,,,,,,17,e4,-0.04
1,,,,,,,,18,e6,0.39
1,,,,,,,,19,Bd3,0.41
1,,,,,,,,20,b6,0.54
1,,,,,,,,21,Ng1,0.06
1,,,,,,,,22,Nxg3,-0.08
1,,,,,,,,23,hxg3,-0.08
1,,,,,,,,24,Bb7,-0.05
1,,,,,,,,25,Ne2,-0.08
1,,,,,,,,26,Qe7,-0.05
1,,,,,,,,27,g4,-0.13
1,,,,,,,,28,c5,0.0
1,,,,,,,,29,Nf1,-0.35
1,,,,,,,,30,a6,0.25
1,,,,,,,,31,Ne3,0.29
1,,,,,,,,32,b5,0.33
1,,,,,,,,33,a4,0.22
1,,,,,,,,34,b4,0.53
1,,,,,,,,35,a5,0.4
1,,,,,,,,36,O-O,0.49
1,,,,,,,,37,O-O,0.46
1,,,,,,,,38,Rfc8,0.81
1,,,,,,,,39,d5,0.73
1,,,,,,,,40,Ne5,0.67
1,,,,,,,,41,Bc2,0.5
1,,,,,,,,42,Rab8,0.35
1,,,,,,,,43,cxb4,0.23
1,,,,,,,,44,Ba8,0.73
1,,,,,,,,45,bxc5,0.35
1,,,,,,,,46,Rxc5,1.34
1,,,,,,,,47,Bb3,1.29
1,,,,,,,,48,Rb4,2.39
1,,,,,,,,49,dxe6,2.58
1,,,,,,,,50,fxe6,2.8
1,,,,,,,,51,Nf5,2.4
1,,,,,,,,52,Qd7,3.18
1,,,,,,,,53,Ned4,2.54
1,,,,,,,,54,d5,3.5
1,,,,,,,,55,Nxg7,3.75
1,,,,,,,,56,Kxg7,3.69
1,,,,,,,,57,Qd2,3.71
1,,,,,,,,58,Rb8,4.31
1,,,,,,,,59,Rac1,3.05
1,,,,,,,,60,Rxc1,3.08
1,,,,,,,,61,Rxc1,3.04
1,,,,,,,,62,Kg8,3.26
1,,,,,,,,63,Qe3,3.09
1,,,,,,,,64,Nf7,3.73
1,,,,,,,,65,e5,3.09
1,,,,,,,,66,Rc8,3.24
1,,,,,,,,67,Re1,2.97
1,,,,,,,,68,Bc6,3.75
1,,,,,,,,69,Qd3,4.13
1,,,,,,,,70,Nd8,4.99
1,,,,,,,,71,Qxa6,4.0
1,,,,,,,,72,Rb8,4.48
1,,,,,,,,73,Qd3,4.45
1,,,,,,,,74,Bb5,5.84
1,,,,,,,,75,Nxb5,5.94
1,,,,,,,,76,Qxb5,6.09
1,,,,,,,,77,Qg6+,6.41
1,,,,,,,,78,Kf8,6.33
1,,,,,,,,79,Re3,4.9
1,,,,,,,,80,Nf7,7.18
1,,,,,,,,81,Rf3,7.65
,,,,,,,,,,
2,"Rapport,R",2715,"Mamedov,Rau",2637,2024,Sicilian,Nimzovich-Rossolimo attack (without ...d6),1,e4,0.2
2,,,,,,,,2,c5,0.37
2,,,,,,,,3,Nf3,0.31
2,,,,,,,,4,Nc6,0.28
2,,,,,,,,5,Bb5,0.28
2,,,,,,,,6,Nf6,0.36
2,,,,,,,,7,Bxc6,0.33
2,,,,,,,,8,dxc6,0.35
2,,,,,,,,9,d3,0.35
2,,,,,,,,10,Qc7,0.32
2,,,,,,,,11,b3,0.24
2,,,,,,,,12,g6,0.35
2,,,,,,,,13,Bb2,0.3
2,,,,,,,,14,Bg7,0.32
2,,,,,,,,15,Be5,0.35
2,,,,,,,,16,Qa5+,0.33
2,,,,,,,,17,Bc3,0.32
2,,,,,,,,18,Qc7,0.31
2,,,,,,,,19,Be5,0.34
2,,,,,,,,20,Qa5+,0.3
2,,,,,,,,21,Nbd2,0.22
2,,,,,,,,22,Bg4,0.39
2,,,,,,,,23,O-O,0.43
2,,,,,,,,24,Bxf3,0.45
2,,,,,,,,25,Nxf3,0.45
2,,,,,,,,26,O-O,0.63
2,,,,,,,,27,Re1,0.42
2,,,,,,,,28,Nh5,0.4
2,,,,,,,,29,Bxg7,0.27
2,,,,,,,,30,Nxg7,0.24
2,,,,,,,,31,Qc1,0.26
2,,,,,,,,32,f6,0.79
2,,,,,,,,33,e5,0.64
2,,,,,,,,34,f5,0.65
2,,,,,,,,35,e6,0.65
2,,,,,,,,36,Rf6,1.06
2,,,,,,,,37,b4,0.41
2,,,,,,,,38,cxb4,0.31
2,,,,,,,,39,Qh6,0.34
2,,,,,,,,40,g5,0.3
2,,,,,,,,41,Qxg5,0.31
2,,,,,,,,42,Qc5,0.33
2,,,,,,,,43,Re2,0.27
2,,,,,,,,44,Rg6,0.26
2,,,,,,,,45,Qh4,0.3
2,,,,,,,,46,Qd5,1.24
2,,,,,,,,47,Kf1,1.05
2,,,,,,,,48,Qd6,1.3
2,,,,,,,,49,Ng5,1.36
2,,,,,,,,50,h5,1.29
2,,,,,,,,51,Rae1,1.28
2,,,,,,,,52,Qc5,1.38
2,,,,,,,,53,Nf7,1.18
2,,,,,,,,54,Re8,2.35
2,,,,,,,,55,h3,0.71
2,,,,,,,,56,a5,1.79
2,,,,,,,,57,Ne5,1.89
2,,,,,,,,58,Rxe6,4.95
2,,,,,,,,59,Qg5,0.83
2,,,,,,,,60,Qd5,0.97
2,,,,,,,,61,Ng6,0.21
2,,,,,,,,62,Rxe2,0.2
2,,,,,,,,63,Rxe2,0.14
2,,,,,,,,64,Kf7,2.47
2,,,,,,,,65,Nxe7,0.0
2,,,,,,,,66,Qxa2,1.69
2,,,,,,,,67,Qg6+,1.86
2,,,,,,,,68,Kf8,1.86
2,,,,,,,,69,Qf6+,1.93
2,,,,,,,,70,Qf7,1.81
2,,,,,,,,71,Qh6,1.7
2,,,,,,,,72,Qa2,2.02
2,,,,,,,,73,Qf6+,2.01
2,,,,,,,,74,Qf7,1.92
2,,,,,,,,75,Qh6,1.93
2,,,,,,,,76,Qa2,2.01
2,,,,,,,,77,Ng6+,-0.33
2,,,,,,,,78,Kf7,-0.28
2,,,,,,,,79,Rxe8,-0.26
2,,,,,,,,80,Kxe8,2.35
2,,,,,,,,81,Qxg7,1.6
2,,,,,,,,82,Qb1+,1.65
2,,,,,,,,83,Ke2,1.49
2,,,,,,,,84,Qxc2+,1.8
2,,,,,,,,85,Ke3,1.86
2,,,,,,,,86,Qc1+,2.87
2,,,,,,,,87,Kf3,2.86
2,,,,,,,,88,Qd1+,3.49
2,,,,,,,,89,Kf4,3.64
2,,,,,,,,90,Qd2+,4.53
2,,,,,,,,91,Ke5,5.03
2,,,,,,,,92,Qe2+,M8
2,,,,,,,,93,Kf6,M7
2,,,,,,,,94,Kd8,M7
2,,,,,,,,95,Ne5,5.66
2,,,,,,,,96,Kc8,5.75
2,,,,,,,,97,Qf8+,9.89
2,,,,,,,,98,Kc7,10.2
2,,,,,,,,99,Qe7+,11.59
2,,,,,,,,100,Kc8,11.97
2,,,,,,,,101,Qf8+,10.89
2,,,,,,,,102,Kc7,12.82
2,,,,,,,,103,Nc4,2.99
2,,,,,,,,104,Qxd3,3.34
2,,,,,,,,105,Qe7+,3.65
2,,,,,,,,106,Kb8,3.76
2,,,,,,,,107,Qe5+,3.79
2,,,,,,,,108,Ka7,3.64
2,,,,,,,,109,Qxa5+,3.78
2,,,,,,,,110,Kb8,3.75
2,,,,,,,,111,Qe5+,3.8
2,,,,,,,,112,Ka8,3.82
2,,,,,,,,113,Qa5+,3.92
2,,,,,,,,114,Kb8,3.76
2,,,,,,,,115,Qxb4,3.95
2,,,,,,,,116,Qd4+,3.96
2,,,,,,,,117,Ke6,4.0
2,,,,,,,,118,Qd5+,3.95
2,,,,,,,,119,Ke7,4.07
2,,,,,,,,120,Qe4+,5.12
2,,,,,,,,121,Kd7,5.26
2,,,,,,,,122,Qxg2,M13
2,,,,,,,,123,Qf8+,M12
2,,,,,,,,124,Ka7,M12
2,,,,,,,,125,Kc8,10.56
2,,,,,,,,126,Ka6,10.93
2,,,,,,,,127,Qa3+,M13
2,,,,,,,,128,Kb5,M13
2,,,,,,,,129,Nd6+,M12
2,,,,,,,,130,Kb6,M12
2,,,,,,,,131,Qb4+,M11
2,,,,,,,,132,Ka6,M11
2,,,,,,,,133,Kb8,5.27
2,,,,,,,,134,Qh2,M2
2,,,,,,,,135,Qa3+,M1
2,,,,,,,,136,Kb6,M1
2,,,,,,,,137,Qa7#,-M0
,,,,,,,,,,
3,"Mamedyarov,S",2733,"Mamedov,Rau",2637,2024,QGD,"exchange, Saemisch variation",1,d4,0.28
3,,,,,,,,2,d5,0.3
3,,,,,,,,3,c4,0.23
3,,,,,,,,4,e6,0.26
3,,,,,,,,5,Nf3,0.22
3,,,,,,,,6,Nf6,0.27
3,,,,,,,,7,Nc3,0.17
3,,,,,,,,8,Nbd7,0.25
3,,,,,,,,9,cxd5,0.25
3,,,,,,,,10,exd5,0.28
3,,,,,,,,11,Bf4,0.21
3,,,,,,,,12,c6,0.24
3,,,,,,,,13,e3,0.0
3,,,,,,,,14,Nh5,0.03
3,,,,,,,,15,Bg5,0.22
3,,,,,,,,16,Nhf6,0.57
3,,,,,,,,17,Bd3,0.52
3,,,,,,,,18,Bd6,0.75
3,,,,,,,,19,O-O,0.61
3,,,,,,,,20,O-O,0.68
3,,,,,,,,21,Qc2,0.59
3,,,,,,,,22,h6,0.72
3,,,,,,,,23,Bh4,0.71
3,,,,,,,,24,Re8,0.67
3,,,,,,,,25,Rae1,0.65
3,,,,,,,,26,Be7,0.6
3,,,,,,,,27,Bg3,0.64
3,,,,,,,,28,a5,1.98
3,,,,,,,,29,Nb5,1.86
3,,,,,,,,30,Bb4,1.98
3,,,,,,,,31,Nc7,1.9
3,,,,,,,,32,Bxe1,2.01
3,,,,,,,,33,Nxa8,1.88
3,,,,,,,,34,Bb4,1.72
3,,,,,,,,35,a3,1.74
3,,,,,,,,36,Bf8,1.66
3,,,,,,,,37,Bc7,1.67
3,,,,,,,,38,Qe7,1.65
3,,,,,,,,39,Bxa5,1.65
3,,,,,,,,40,Ne4,1.87
3,,,,,,,,41,Nc7,1.7
3,,,,,,,,42,Rd8,1.67
3,,,,,,,,43,Nxd5,1.56
3,,,,,,,,44,cxd5,1.57
3,,,,,,,,45,Bxd8,1.46
3,,,,,,,,46,Qxd8,1.47
3,,,,,,,,47,Bxe4,0.91
3,,,,,,,,48,dxe4,0.96
3,,,,,,,,49,Qxe4,0.95
3,,,,,,,,50,Nf6,0.95
3,,,,,,,,51,Qd3,0.87
3,,,,,,,,52,Qd5,0.8
3,,,,,,,,53,Rc1,0.83
3,,,,,,,,54,Be6,0.85
3,,,,,,,,55,Nd2,0.8
3,,,,,,,,56,Bf5,0.88
3,,,,,,,,57,Qb3,0.9
3,,,,,,,,58,Qa5,0.96
3,,,,,,,,59,Nf3,1.02
3,,,,,,,,60,Qa6,1.25
3,,,,,,,,61,Ne5,1.06
3,,,,,,,,62,Be6,1.02
3,,,,,,,,63,Qd3,1.04
3,,,,,,,,64,Qd6,1.43
3,,,,,,,,65,e4,1.14
3,,,,,,,,66,Nh5,1.37
3,,,,,,,,67,g3,1.0
3,,,,,,,,68,g6,1.51
3,,,,,,,,69,Nc4,1.43
3,,,,,,,,70,Qd8,1.73
3,,,,,,,,71,d5,1.74
3,,,,,,,,72,Bh3,1.97
3,,,,,,,,73,e5,1.67
3,,,,,,,,74,Bg7,2.71
3,,,,,,,,75,Re1,2.49
3,,,,,,,,76,b5,2.68
3,,,,,,,,77,Nd6,2.32
3,,,,,,,,78,Bxe5,2.33
3,,,,,,,,79,Nxf7,2.18
3,,,,,,,,80,Kxf7,2.26
3,,,,,,,,81,Rxe5,2.36
3,,,,,,,,82,Qf6,3.01
3,,,,,,,,83,Qe3,1.16
3,,,,,,,,84,Ng7,2.41
3,,,,,,,,85,f4,1.05
3,,,,,,,,86,Kg8,1.19
3,,,,,,,,87,Qc5,0.6
3,,,,,,,,88,Qa6,0.83
3,,,,,,,,89,Re1,0.0
3,,,,,,,,90,b4,0.0
3,,,,,,,,91,axb4,0.0
3,,,,,,,,92,Qd3,0.0
3,,,,,,,,93,b5,-0.02
3,,,,,,,,94,Qd2,0.0
3,,,,,,,,95,Qf2,0.0
3,,,,,,,,96,Qxd5,0.0
3,,,,,,,,97,b6,0.0
3,,,,,,,,98,Nf5,0.0
3,,,,,,,,99,Re5,0.0
3,,,,,,,,100,Qd1+,0.0
3,,,,,,,,101,Qe1,0.0
3,,,,,,,,102,Qd4+,0.0
3,,,,,,,,103,Qf2,0.0
3,,,,,,,,104,Qd1+,0.0
3,,,,,,,,105,Re1,0.0
3,,,,,,,,106,Qd5,0.0
3,,,,,,,,107,Qe2,0.0
3,,,,,,,,108,Qc5+,0.0
3,,,,,,,,109,Kh1,0.0
3,,,,,,,,110,Nd6,0.02
3,,,,,,,,111,g4,0.01
3,,,,,,,,112,Qc6+,0.0
3,,,,,,,,113,Kg1,0.0
3,,,,,,,,114,Qxb6+,0.0
3,,,,,,,,115,Qe3,0.0
3,,,,,,,,116,Qxe3+,0.0
3,,,,,,,,117,Rxe3,0.0
3,,,,,,,,118,Bxg4,0.02
3,,,,,,,,119,b4,0.0
3,,,,,,,,120,Kf7,0.0
3,,,,,,,,121,Re5,0.0
3,,,,,,,,122,Bd7,0.0
3,,,,,,,,123,Kf2,0.0
3,,,,,,,,124,Kf6,0.0
3,,,,,,,,125,h4,-0.09
3,,,,,,,,126,Bc6,-0.05
3,,,,,,,,127,Ke2,-0.13
3,,,,,,,,128,Bb5+,-0.08
3,,,,,,,,129,Kf3,-0.04
3,,,,,,,,130,Bc6+,-0.04
,,,,,,,,,,
4,"Aravindh,Chithambaram VR.",2698,"Rapport,R",2715,2024,Caro-Kann,advance variation,1,e4,0.2
4,,,,,,,,2,c6,0.35
4,,,,,,,,3,d4,0.41
4,,,,,,,,4,d5,0.42
4,,,,,,,,5,e5,0.4
4,,,,,,,,6,Bf5,0.46
4,,,,,,,,7,h4,0.3
4,,,,,,,,8,a6,0.66
4,,,,,,,,9,c4,0.54
4,,,,,,,,10,dxc4,0.56
4,,,,,,,,11,Bxc4,0.57
4,,,,,,,,12,e6,0.58
4,,,,,,,,13,Nc3,0.51
4,,,,,,,,14,h6,0.63
4,,,,,,,,15,Nge2,0.53
4,,,,,,,,16,Nd7,0.57
4,,,,,,,,17,Be3,0.29
4,,,,,,,,18,Ne7,0.62
4,,,,,,,,19,Ng3,0.38
4,,,,,,,,20,Nb6,0.42
4,,,,,,,,21,Bb3,0.53
4,,,,,,,,22,Bh7,0.47
4,,,,,,,,23,Qg4,0.31
4,,,,,,,,24,a5,0.63
4,,,,,,,,25,a3,0.68
4,,,,,,,,26,a4,0.66
4,,,,,,,,27,Ba2,0.64
4,,,,,,,,28,Nf5,0.65
4,,,,,,,,29,Rd1,0.39
4,,,,,,,,30,Nd5,0.38
4,,,,,,,,31,Bc1,0.29
4,,,,,,,,32,Nxg3,0.35
4,,,,,,,,33,Qxg3,0.08
4,,,,,,,,34,Bc2,0.08
4,,,,,,,,35,Rd2,0.01
4,,,,,,,,36,Bf5,-0.02
4,,,,,,,,37,Bc4,-0.03
4,,,,,,,,38,Qb6,0.3
4,,,,,,,,39,O-O,0.28
4,,,,,,,,40,g6,0.18
4,,,,,,,,41,h5,0.17
4,,,,,,,,42,gxh5,0.57
4,,,,,,,,43,Bd3,0.21
4,,,,,,,,44,Ne7,0.26
4,,,,,,,,45,Qh4,-0.18
4,,,,,,,,46,Rg8,-0.14
4,,,,,,,,47,Bxf5,-0.12
4,,,,,,,,48,Nxf5,-0.09
4,,,,,,,,49,Qxh5,-0.03
4,,,,,,,,50,Be7,-0.1
4,,,,,,,,51,Rd3,-0.14
4,,,,,,,,52,Rg6,0.47
4,,,,,,,,53,d5,-0.52
4,,,,,,,,54,Ng7,-0.45
4,,,,,,,,55,Qh3,-0.25
4,,,,,,,,56,exd5,-0.39
4,,,,,,,,57,Be3,-0.59
4,,,,,,,,58,Qa6,0.64
4,,,,,,,,59,Rfd1,0.0
4,,,,,,,,60,h5,0.54
4,,,,,,,,61,Ne2,0.51
4,,,,,,,,62,Ne6,0.53
4,,,,,,,,63,f4,-0.53
4,,,,,,,,64,Nc5,0.95
4,,,,,,,,65,f5,0.0
4,,,,,,,,66,Rg8,0.86
4,,,,,,,,67,R3d2,0.77
4,,,,,,,,68,Ne4,1.86
4,,,,,,,,69,Rc2,-0.67
4,,,,,,,,70,Bg5,-0.68
4,,,,,,,,71,Bd4,-0.83
4,,,,,,,,72,O-O-O,-0.74
4,,,,,,,,73,Nc3,-1.5
4,,,,,,,,74,Kb8,-0.85
4,,,,,,,,75,Qf3,-1.82
4,,,,,,,,76,Qc4,-0.92
4,,,,,,,,77,Nxe4,-3.2
4,,,,,,,,78,Qxc2,-3.42
4,,,,,,,,79,Nd6,-3.98
4,,,,,,,,80,Bf4,-4.06
4,,,,,,,,81,Rf1,-4.57
4,,,,,,,,82,Rxd6,-4.45
4,,,,,,,,83,Rf2,-4.63
4,,,,,,,,84,Qc1+,-4.65
4,,,,,,,,85,Rf1,-4.87
4,,,,,,,,86,Qd2,-5.0
,,,,,,,,,,
